"Date","Result","Against","Stadium","Competition","Season"
"13.07.2005","3 - 0","Total Network Solutions","Anfield","Champions League 1st Qualifying round 1st leg","2005"
"19.07.2005","3 - 0","Total Network Solutions","Racecourse Ground","Champions League 1st Qualifying round 2nd leg","2005"
"26.07.2005","3 - 1","FBK Kaunas","S Darius & S Girenas Stadium","Champions League 2nd Qualifying round 1st leg","2005"
"02.08.2005","2 - 0","FBK Kaunas","Anfield","Champions League 2nd Qualifying round 2nd leg","2005"
"10.08.2005","3 - 1","CSKA Sofia","Vassil Levski","Champions League 3rd Qualifying round 1st leg","2005"
"13.08.2005","0 - 0","Middlesbrough","Riverside","Premier League","2005"
"20.08.2005","1 - 0","Sunderland","Anfield","Premier League","2005"
"23.08.2005","0 - 1","CSKA Sofia","Anfield","Champions League 3rd Qualifying round 2nd leg","2005"
"26.08.2005","3 - 1","CSKA Moscow","Stade Louis II","European Super Cup","2005"
"10.09.2005","0 - 0","Tottenham Hotspur","White Hart Lane","Premier League","2005"
"13.09.2005","2 - 1","Real Betis","Manuel Ruiz de Lopera","Champions League First Group Phase","2005"
"18.09.2005","0 - 0","Manchester United","Anfield","Premier League","2005"
"24.09.2005","2 - 2","Birmingham City","St Andrews","Premier League","2005"
"28.09.2005","0 - 0","Chelsea","Anfield","Champions League First Group Phase","2005"
"02.10.2005","1 - 4","Chelsea","Anfield","Premier League","2005"
"15.10.2005","1 - 0","Blackburn Rovers","Anfield","Premier League","2005"
"19.10.2005","1 - 0","Anderlecht","Constant Vanden Stock Stadium","Champions League First Group Phase","2005"
"22.10.2005","0 - 2","Fulham","Craven Cottage","Premier League","2005"
"25.10.2005","1 - 2","Crystal Palace","Selhurst Park","League Cup 3rd round","2005"
"29.10.2005","2 - 0","West Ham United","Anfield","Premier League","2005"
"01.11.2005","3 - 0","Anderlecht","Anfield","Champions League First Group Phase","2005"
"05.11.2005","2 - 0","Aston Villa","Villa Park","Premier League","2005"
"19.11.2005","3 - 0","Portsmouth","Anfield","Premier League","2005"
"23.11.2005","0 - 0","Real Betis","Anfield","Champions League First Group Phase","2005"
"26.11.2005","1 - 0","Manchester City","City of Manchester Stadium","Premier League","2005"
"30.11.2005","2 - 0","Sunderland","Stadium of Light","Premier League","2005"
